ds,yhat,yhat_lower,yhat_upper
2015-01-03,1499.1583396651251,-1183.7799418877612,4226.58563581427
2015-01-04,1164.7878072319227,-1644.7065835576639,3895.2550792357906
2015-01-05,964.7377284490778,-1573.760676878837,3410.9826305694028
2015-01-06,1232.929333694782,-1403.2758536146696,3924.3290992824886
2015-01-07,689.272415028501,-2056.8814038531627,3280.5751685568057
2015-01-09,609.1684202536424,-2035.1153843762927,3361.3719690597236
2015-01-10,1002.0577511878823,-1561.909601002686,3902.058917480838
2015-01-11,730.3026401705456,-2144.0950815119763,3441.862991516888
2015-01-13,936.0787197849983,-1814.1723178226175,3696.1409456599936
2015-01-14,464.5715175455498,-2396.646435473253,3167.075865366181
2015-01-15,-105.93176122857858,-3010.883114399507,2647.052221132557
2015-01-16,527.8399998298629,-2353.451703478585,3154.441810188453
2015-01-18,781.002661359724,-1930.8479932682988,3596.452625536143
2015-01-19,706.3577313459483,-1840.9062063809458,3550.751475048034
2015-01-20,1096.2560488798367,-1639.5449912271727,3680.7999997541124
2015-01-23,790.6314813736006,-1912.8435985709975,3480.9302783850785
2015-01-26,983.0380724984934,-1794.0101880308093,3732.102943941481
2015-01-27,1357.397700090216,-1252.505375842294,4291.642794117446
2015-01-28,904.2203742642926,-1664.9539073324886,3835.340977774086
2015-01-30,951.7036603383046,-1880.3674540772886,3640.3789163339766
2015-01-31,1379.5984392416308,-1224.8029194371913,4128.074842931057
2015-02-01,1123.0107802080202,-1395.5646221946686,3754.087027899095
2015-02-02,985.6094689559332,-1814.4348564759023,3604.6156774458004
2015-02-03,1300.501737165895,-1284.4970153260483,4052.05495054868
2015-02-04,787.1631048908841,-1855.6085967853367,3715.9916442293365
2015-02-06,718.773431021672,-1988.8330535959358,3500.6216122375345
2015-02-07,1094.1519457487655,-1665.1009468105676,3837.0883765279204
2015-02-08,790.6683228444853,-2187.902889385222,3364.1420340346795
2015-02-11,360.6169492994479,-2404.7595984500645,3085.9608086190797
2015-02-12,-280.8993720061512,-2861.5755513827235,2438.8411565512897
2015-02-14,661.9676759351263,-2067.932499168713,3517.719002057039
2015-02-15,378.3482553793176,-2143.655020240312,3274.496475833614
2015-02-16,231.67038911340478,-2559.90564045462,3120.1372043137058
2015-02-17,555.8042816933904,-2167.1624259091086,3227.361955414323
2015-02-18,70.55880228347246,-2654.743973144918,2865.408818479091
2015-02-20,114.05002822682695,-2515.5738399908305,2851.8218933746007
2015-02-21,571.7032228247868,-2179.1124441402408,3356.059463085757
2015-02-22,366.35258546391697,-2373.9240022395447,3039.6716728983665
2015-02-23,301.2763845674799,-2406.1332180837667,2967.693387961114
2015-02-24,708.6995366566483,-2004.3665218014596,3834.8571031548895
2015-02-27,510.06144252531715,-2154.7820504383226,3231.247448163051
2015-03-01,902.5175910906232,-1754.7493020492968,3565.0532748842065
2015-03-02,896.5340870934825,-1891.5442686432916,3552.7396545601227
2015-03-03,1354.1067694861445,-1424.9855351983138,4069.835739512493
2015-03-04,992.3772098396505,-1948.5646839421793,3579.382493666691
2015-03-05,521.3887087250903,-2229.966341708397,3370.7709718393826
2015-03-07,1781.3285384498588,-881.6874532895004,4467.814432200637
2015-03-10,2046.5508870049305,-839.5992386971271,4622.236239511194
2015-03-11,1647.5030347336058,-1047.879194351249,4282.901093837134
2015-03-14,2272.2505072634904,-370.17463974085257,4903.174189602495
2015-03-15,2060.8203088452888,-507.3634449082832,4752.7849009264155
2015-03-16,1966.069189168175,-698.1054120344813,4704.581928409885
2015-03-17,2320.951861740231,-505.08537711246345,4989.5915544294185
2015-03-18,1844.7604419825088,-911.2259328107147,4544.416986006904
2015-03-19,1249.8841744612891,-1490.4581741704694,3963.6437648382444
2015-03-21,2243.7930818046957,-493.34269198085747,4945.099328286787
2015-03-22,1963.5771275144868,-781.8083624830235,4647.215663376429
